url,title,product_desc,image,Boiling Point,CAS,Chemical Name or Material,Color,Molecular Formula,Packaging,Synonym,Grade,Molecular Weight (g/mol),Percent Purity,Quantity,Unit Size,IUPAC Name,InChI Key,SMILES,Appearance (Color),Appearance (Form),Infrared spectrum,Melting point,Titration with NaOH,Form,Assay (Aqueous acid-base Titration),Identification (FTIR),Refractive Index,Assay from Supplier's CofA,Comment,Melting Point,Assay (Silylated GC),Residue after ignition,Chloride (Cl),HPLC,Heavy metals (as Pb),Impurity content,Trace Metal,Melting Point (clear melt),Optical Rotation,Assay (GC),Free base (titration),Carboniz. sub. by hot H2SO4,Beilstein,ChEBI,Water Content (Karl Fischer Titration),Titration Argentometric,Loss on drying,Water,UV,Color scale,Heavy metals (ICP-OES),Titration with KMnO4,Substance darkened by H2SO4,Total Metal Impurities,Chloride content,Iron (Fe),Titration with CHA,Specific optical rotation,Arsenic (As),Sulfate (SO4),Refractive index,Residue after evaporation,K2Cr2O7-reducing substance,Cadmium (Cd),Identification A,Identification B,Residue on ignition,Assay (unspecified),"Dnase,Rnase,Protease activity",Oxalate (C2O4),Acid value,Density,GC,Phosphate (PO4),Sodium (Na),"Sugars, dextrin",Zinc (Zn),Sulfuric acid,Titration with HClO4,Acidity/alkalinity,Name Note,Physical Form,Recommended Storage,KMnO4-reducing substance,Optical Absorbance at,Insoluble matter,Acid-base back titration,Dilution test,Sulfite (SO3),Enantiomeric excess,Titration excess NaOH,Reducing sugars,Assay,Titration with HCl,Aluminium (Al),Heavy Metals (as Pb),Sulfated ash,Assay (Titration),Concentration,EINECS Number,Potassium (K),Calcium (Ca),Magnesium (Mg),Assay from Suppliers CofA,Clarity of solution,Strength,Ash,pH,Sugars,Acids,Impurity,Moisture holding capacity,Trace Metals,Sulfur compounds (as SO4),DOT Information,Assay (Non-aqueous acid-base Titration),Assay (Argentometric Titration),Clarity,Residual water,Ammonium (NH4),Proton NMR,Loss on Drying,Assay (HPLC),Transition Temperature,Elemental Analysis,Fumaric and maleic acid,Identification,Fluoride (F),lambda-max (UV-Vis),Insoluble material
https://www.thermofisher.com/order/catalog/product/L14259.30?SID=srch-srp-L14259.30,"DL-Lactic acid, 80-85% aq. soln.","DL-Lactic acid is used to produce serial products or widely used in food, vintage, beverage, drugs, polymerization, textile, leather, tobacco, feed, plastic chemicals, pesticide, polymer solution and other industry. Lactic acid is also used as an acidifying agent. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-50-21-5.jpg-650.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A16806.AP?SID=srch-srp-A16806.AP,"D-Gluconic acid, 50% aq. soln.","Gluconic acid occurs naturally in fruit, honey, and wine. As a food additive it is an acidity regulator. It is also used in cleaning products. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-526-95-4.jpg-650.jpg,,611-71-2,,,C8H8O3,,,,,,,,(2R)-2-hydroxy-2-phenylacetic acid,IWYDHOAUDWTVEP-SSDOTTSWSA-N,O[C@@H](C(O)=O)C1=CC=CC=C1,White,,,,,Crystalline powder,>99.0 to <101.00%,Conforms,,,,,,,,,,,,,"-154? ± 4? (c=5, water)",,,,,,≤10%,,,,,,,,,,,,,,,,,,,,,,,≥93% (dry wt. basis),,,,,,,,,,,,,,,,,,,≥48 to ≤54% w/w,,,>99% by HPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A17022.30?SID=srch-srp-A17022.30,Tannic acid,"Used for enzyme immobilization and protein adsorption.Tannic acid has anti-bacterial, anti-enzymatic and astringent applications. Used in the dyeing process for cellulose fibers such as cotton. Used in food and medication. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-1401-55-4.jpg-650.jpg,,611-71-2,,,C8H8O3,,,,,,,,(2R)-2-hydroxy-2-phenylacetic acid,IWYDHOAUDWTVEP-SSDOTTSWSA-N,O[C@@H](C(O)=O)C1=CC=CC=C1,White,,,,,Crystalline powder,>99.0 to <101.00%,Conforms,,,,,,,,,,,,,"-154? ± 4? (c=5, water)",,,,,,≤10%,,,,,,,,,,,,,,,,,,,,,,,≥93% (dry wt. basis),,,,,,,,,,,,,,,,,,,≥48 to ≤54% w/w,,,>99% by HPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/L19116.14?SID=srch-srp-L19116.14,"(R)-(-)-Mandelic acid, ChiPros 99+%, ee 99+%",This Thermo Scientific Chemicals brand product was originally part of the Alfa Aesar product portfolio. Some documentation and label information may refer to the legacy brand. The original Alfa Aesar product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-611-71-2.jpg-650.jpg,,611-71-2,,,C8H8O3,,,,,,,,(2R)-2-hydroxy-2-phenylacetic acid,IWYDHOAUDWTVEP-SSDOTTSWSA-N,O[C@@H](C(O)=O)C1=CC=CC=C1,White,,,,,Crystalline powder,>99.0 to <101.00%,Conforms,,,,,,,,,,,,,"-154? ± 4? (c=5, water)",,,,,,≤10%,,,,,,,,,,,,,,,,,,,,,,,≥93% (dry wt. basis),,,,,,,,,,,,,,,,,,,≥48 to ≤54% w/w,,,>99% by HPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/270480250?SID=srch-srp-270480250,"Formic acid, 99%, for analysis",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-64-18-6.jpg-650.jpg,,64-18-6,,,CH2O2,,,,,,,,formic acid,BDAGIHXWWSANSR-UHFFFAOYSA-N,OC=O,,,,,,,,,,,,,,,=<5 ppm,,,,,,,,,,,,,,,,,=<10 APHA,,,,,,,,,,,,,,=<0.1 ppm,,,,,,,,,,,,,,,,,,,,,,,,passes test,=<20 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/0115-09?SID=srch-srp-0115-09,"Citric acid monohydrate, 99.5-100.5% (by anhydrous basis), granular, USP, Multi-Compendial, GMP, J.T.Baker™","This product is GMP Manufactured and meets J.P., U.S.P, B.P and E.P specifications.",https://www.thermofisher.com/TFS-Assets/LSG/product-images/0115%20image.jpg-650.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/119890100?SID=srch-srp-119890100,"Gluconic acid, 50 wt% solution in water",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-526-95-4.jpg-650.jpg,,133-37-9,,,C4H6O6,,,,,,,,"2,3-dihydroxybutanedioic acid",FEWJPZIEWOKRBE-UHFFFAOYNA-N,OC(C(O)C(O)=O)C(O)=O,White,Solution,,,,Crystals or powder or crystalline powder,≥98.5 to ≤101.5%,Conforms,,≥98.0%,,,≥98.5%,,,,,,,,,,,,,,,,,,,,,,,≤0.0015%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 to 55 %,=<3 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/010994.AP?SID=srch-srp-010994.AP,"Acetic acid, glacial, 99.9985% (metals basis)","Acetic acid is used as a solvent for purification and production of many chemical compounds eg., vinyl acetate monomer. It is a significant chemical reagent and is mainly used in the production of cellulose acetate for photographic film, polyvinyl acetate for wood glue, synthetic fibers and fabrics. It is used as a descaling agent in households. As a food additive, it finds application as a condiment, in the pickling of vegetables and other foods and is also an acidity regulator. In analytical chemistry, for the estimation of weakly alkaline substances such as organic amides, glacial acetic acid is used. Acetic acid is used as antimicrobial preservative or acidulates in a variety of food products. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-64-19-7.jpg-650.jpg,,133-37-9,,,C4H6O6,,,,,,,,"2,3-dihydroxybutanedioic acid",FEWJPZIEWOKRBE-UHFFFAOYNA-N,OC(C(O)C(O)=O)C(O)=O,White,Solution,,,,Crystals or powder or crystalline powder,≥98.5 to ≤101.5%,Conforms,,≥98.0%,,,≥98.5%,,,,,,,,,,,,,,,,,,,,,,,≤0.0015%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 to 55 %,=<3 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A10683.36?SID=srch-srp-A10683.36,"DL-Tartaric acid, 99%","DL-Tartaric acid is used as a synergist for antioxidants, emulsifier, sequestrant and flavoring agent. It is also added with citric acid to prepare effervescent salts, thereby enhancing the taste of oral medications. It is also utilized in pigments, processing aids, ink, toner and colorant products. It acts as a chelating agent in metal and farming industries. Further, it is used as lubricant and grease. It is mixed with sodium bicarbonate and used as a leavening agent in food preparation. In the pharmaceutical industry, it is utilized in the preparation of tartar emetic, which is used in cough syrup as an expectorant.  ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-133-37-9.jpg-650.jpg,,133-37-9,,,C4H6O6,,,,,,,,"2,3-dihydroxybutanedioic acid",FEWJPZIEWOKRBE-UHFFFAOYNA-N,OC(C(O)C(O)=O)C(O)=O,White,Solution,,,,Crystals or powder or crystalline powder,≥98.5 to ≤101.5%,Conforms,,≥98.0%,,,≥98.5%,,,,,,,,,,,,,,,,,,,,,,,≤0.0015%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 to 55 %,=<3 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A11156.36?SID=srch-srp-A11156.36,"Trichloroacetic acid, 99%","Protein precipitation reagent Trichloroacetic acid is used as a precipitating agent in biochemistry for precipitation of proteins, DNA and RNA. It is an active ingredient used for cosmetic treatments like chemical peels, tattoo removal and the treatment of warts including genital warts. It is also used to determine protein concentration and a decalcifier and fixative in microscopy.    ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-76-03-9.jpg-650.jpg,,76-03-9,,,C2HCl3O2,,,,,,,,trichloroacetic acid,YNJBWRMUSHSURL-UHFFFAOYSA-N,OC(=O)C(Cl)(Cl)Cl,White to pale yellow,,,,,,≥98.5 to ≤101.5%,Conforms,,,,,,,,,,,,52-60?C,,,,,,,<0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/214975000?SID=srch-srp-214975000,"Cacodylic acid, sodium salt trihydrate, 98%, pure",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-6131-99-3.jpg-650.jpg,,1401-55-4,,,C76H52O46,,,,,,,,"2,3-dihydroxy-5-[({3,4,5,6-tetrakis[3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyloxy)benzoyloxy]oxan-2-yl}methoxy)carbonyl]phenyl 3,4,5-trihydroxybenzoate",LRBQNJMCXXYXIU-UHFFFAOYNA-N,OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,Yellow to brown,Powder,Conforms,,,,,,,,,,,,,,,,,,,,,,,,,,=<12.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>=94 % (on dry substance),>=97.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/202425000?SID=srch-srp-202425000,"Tannic acid, 95%",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-1401-55-4.jpg-650.jpg,,1401-55-4,,,C76H52O46,,,,,,,,"2,3-dihydroxy-5-[({3,4,5,6-tetrakis[3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyloxy)benzoyloxy]oxan-2-yl}methoxy)carbonyl]phenyl 3,4,5-trihydroxybenzoate",LRBQNJMCXXYXIU-UHFFFAOYNA-N,OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,Yellow to brown,Powder,Conforms,,,,,,,,,,,,,,,,,,,,,,,,,,=<12.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>=94 % (on dry substance),>=97.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
